Звернення,Код
"Прошу прибрати сміття на прибудинковій території.",0
"У під'їзді не працює освітлення, прохання усунути несправність.",0
"Не прибрано сходові клітини, сміття накопичується.",0
"Пропоную перевірити стан каналізаційних труб у підвалі.",0
"Вікна у під'їзді потребують ремонту.",0
"Не працює домофон у будинку, будь ласка, відремонтуйте.",0
"Забруднено дах будинку, потрібно очистити.",0
"Проблеми із опаленням у квартирі, батареї холодні.",0
"Протікає дах у під'їзді, терміново усунути.",0
"Тріщини на стінах під'їзду, потрібен ремонт.",0
"Не прибрано сніг на прибудинковій території.",0
"Проблеми з водостічними трубами на даху.",0
"Сходи у під'їзді слизькі, небезпечно для мешканців.",0
"Забруднені вентиляційні решітки у будинку.",0
"Проблеми із освітленням на сходах.",0
"Не працює ліфт у під'їзді, прохання терміново усунути.",0
"Зламана кнопка виклику ліфта, потрібен ремонт.",0
"Ліфт часто зупиняється між поверхами.",0
"Не працює водопостачання у під'їзді.",3
"Водопровідна труба протікає у квартирі.",3
"Вода подається рідко, тиск низький.",3
"Холодна вода не надходить у ванну кімнату.",3
"Скважина для води забруднена, потрібна очистка.",3
"Каналізаційна труба забита.",4
"Стічні води піднімаються у підвалі будинку.",4
"Вивіз стічних вод запізнюється, сильний запах.",4
"Неприємний запах у каналізаційній системі.",4
"Труби теплопостачання пошкоджені, батареї холодні.",5
"Опалення у квартирі працює нестабільно.",5
"Проблеми з гарячою водою, тиск низький.",5
"Теплова мережа потребує ремонту.",5
"Витік газу у під'їзді, небезпечно для мешканців.",6
"Газова плита не працює.",6
"Запах газу у квартирі, терміново перевірити.",6
"Проблеми з подачею газу у будинок.",6
"Відсутнє електропостачання у квартирі.",7
"Світло часто вимикається без попередження.",7
"Несправність лічильника електроенергії.",7
"Проблеми з електричною розеткою у під'їзді.",7
"Не працює ліфт, застрягання між поверхами.",8
"Ліфт дуже повільно піднімається.",8
"Немає сигналу кнопки виклику ліфта.",8
"Ліфт часто ламається, потрібно обслуговування.",8
"Автобусна зупинка не обладнана.",9
"Дороги в районі розбиті, небезпечні для руху.",9
"Немає дорожньої розмітки на перехресті.",9
"Сигнали світлофора не працюють.",9
"Не прибрано вулицю після ремонту.",10
"Зелені насадження потребують догляду.",10
"Бруківка на тротуарі пошкоджена.",10
"Немає лавок для відпочинку на вулиці.",10
"Дерева ростуть біля проводів, небезпечно.",11
"Трава не коситься на прибудинковій території.",11
"Сміття на газоні, потрібно прибрати.",11
"Небезпечні дерева не обрізані.",11
"Пожежна сигналізація не працює у будинку.",12
"Пожежні гідранти забруднені.",12
"Не працює оповіщення про пожежу.",12
"Вогнегасники в будинку відсутні або зіпсовані.",12
"Виклики поліції приходять із затримкою.",13
"Шумні сусіди порушують спокій.",13
"Вандалізм на прибудинковій території.",13
"Крадіжка велосипеда у дворі.",13
"Не дотримуються санітарні норми у дворі.",14
"Продукти у магазині з простроченим терміном.",14
"Сильний запах сміття на вулиці.",14
"Відсутня дезінфекція місць громадського користування.",14
"У школі не прибрано територію.",15
"Класи потребують ремонту.",15
"Відсутнє опалення у класах.",15
"Не працює вода у шкільних туалетах.",15
"Довгі черги на гарячу лінію.",16
"Не працює контакт-центр, не відповідають.",16
"Помилки у роботі сайту міської ради.",16
"Повільна обробка звернень.",16
"Сміття не вивозять вчасно.",17
"Водії не прибирають територію.",17
"Технічне обслуговування будинків відсутнє.",17
"Транспортні послуги не надаються.",17
"Не прибрано сміття у дворі, прохання вирішити.",0
"Ліфти часто ламаються, необхідний ремонт.",8
"Холодна вода не надходить у квартирі.",3
"Опалення у квартирі не працює.",5
"Запах газу у квартирі, терміново перевірити.",6
"Немає електропостачання у квартирі.",7
"Сходи слизькі, небезпечно для мешканців.",0
"Водостоки забиті, потрібне прочищення.",4
"Не працює світло на вулиці.",2
"Сквер не прибрано, траву не косили.",11
"Терміново потрібно перевірити пожежну сигналізацію.",12
"Шумні сусіди порушують спокій.",13
"У школі не працює опалення.",15
"Контакт-центр не відповідає на дзвінки.",16
"Не вивезено сміття у дворі.",17
"Освітлення у під'їзді не працює.",2
"Труби у підвалі протікають.",4
"Газова плита не працює.",6
"Проблеми з електролічильником.",7
"Дах протікає після дощу.",0
"Водопостачання відсутнє вранці.",3
"Несправність ліфта на 5 поверсі.",8
"Проблеми з гарячою водою.",5
"Відсутнє освітлення на вулиці.",2
"Дерева не обрізані, гілки впали на дорогу.",11
"Вогнегасники у будівлі відсутні.",12
"Поліція не приїхала на виклик.",13
"У лікарні відсутня вода.",15
"Не працює сайт міської ради.",16
"Технічне обслуговування будинків відсутнє.",17
"Вікна у під'їзді зіпсовані.",0
"Тиск води низький.",3
"Сквери потребують догляду.",11
"Не працює сигналізація пожежна.",12
"Крадіжка на території будинку.",13
"В школі немає гарячої води.",15
"Довгі черги на гарячу лінію.",16
"Сміття не вивезено.",17
"Дах потребує ремонту.",0
"Не працює водопровід.",3
"Сквер засмічений.",11
"Не працює оповіщення про пожежу.",12
"Вандалізм на прибудинковій території.",13
"Класи потребують ремонту.",15
"Сайт міської ради помилково працює.",16
"Вивіз сміття не здійснюється.",17
"Домофон не працює.",0
"Відсутня гаряча вода.",5
"Освітлення на вулиці вимкнене.",2
"Територія зелених насаджень засмічена.",11
"Вогнегасники відсутні.",12
"Шумні сусіди порушують спокій.",13
"В школі відсутнє опалення.",15
"Контакт-центр повільно обробляє звернення.",16
"Сміття не вивезли вчасно.",17
"Ліфт зупиняється між поверхами.",8
"Водопровідна труба протікає.",3
"Газова труба пошкоджена.",6
"Не працює електропостачання.",7
"Дах протікає.",0
"Холодна вода не надходить.",3
"Вулиці не освітлені.",2
"Не прибрано газони.",11
"Пожежна сигналізація не працює.",12
"Поліція запізнилася на виклик.",13
"Опалення у школі не працює.",15
"Гаряча лінія не відповідає.",16
"Вивіз сміття не здійснюється.",17
"Сходи у під'їзді брудні.",0
"Тиск води низький.",3
"Не працює освітлення на вулиці.",2
"Сквер потребує догляду.",11
"Вогнегасники відсутні.",12
"Шумні сусіди.",13
"В школі відсутнє опалення.",15
"Не відповідає контакт-центр.",16
"Сміття не вивезене.",17
"У дворі залишили сміття, потрібно прибрати.",0
"Ліфт застряг між поверхами, терміново полагодити.",8
"Вода холодна, не надходить у квартиру.",3
"Опалення не включається.",5
"Відчутний запах газу в квартирі.",6
"Відсутнє електропостачання у квартирі.",7
"Сходи слизькі, можна впасти.",0
"Водостік забитий, вода не йде.",4
"Світло на вулиці вимкнено.",2
"Сквер біля будинку занедбаний.",11
"Пожежні щити не перевірені.",12
"Гучні сусіди порушують спокій.",13
"У школі холодно, не працює опалення.",15
"Контакт-центр не відповідає на дзвінки.",16
"Сміття у дворі не вивезено.",17
"Світло у під'їзді не горить.",2
"Протікання труб у підвалі.",4
"Газова плита несправна.",6
"Проблеми з електропостачанням.",7
"Дах будинку протікає.",0
"Відсутнє водопостачання.",3
"Ліфт зупиняється на 5 поверсі.",8
"Гаряча вода не надходить.",5
"Вулиця темна, немає освітлення.",2
"Дерева не обрізані, гілки падають.",11
"Вогнегасники відсутні.",12
"Потрібна поліція для реагування.",13
"У лікарні відсутнє опалення.",15
"Сайт міської ради не працює.",16
"Не вивезено сміття вчасно.",17
"Пошкоджені вікна у під'їзді.",0
"Тиск води у крані низький.",3
"Газони не доглянуті.",11
"Пожежна сигналізація не активна.",12
"Крадіжка у дворі будинку.",13
"Опалення у школі не працює.",15
"Дзвінки на гарячу лінію ігноруються.",16
"Сміття залишилося на вулиці.",17
"Дах протікає після дощу.",0
"Відсутня вода у квартирі.",3
"Не працює освітлення на вулиці.",2
"Газони не прибрані.",11
"Вогнегасники не перевірені.",12
"Шумні сусіди порушують спокій.",13
"У школі холодно, опалення відсутнє.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено.",17
"Ліфт застряг.",8
"Протікає труба у підвалі.",3
"Газова труба пошкоджена.",6
"Відсутнє електропостачання.",7
"Дах потребує ремонту.",0
"Холодна вода не йде.",3
"На вулиці темно.",2
"Сквер потребує догляду.",11
"Вогнегасники відсутні.",12
"Шумні сусіди.",13
"В школі холодно, немає опалення.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено.",17
"Сходи слизькі.",0
"Низький тиск води.",3
"Вулиці не освітлені.",2
"Газони не прибрані.",11
"Не працює пожежна сигналізація.",12
"Крадіжка на території будинку.",13
"Опалення у класах не працює.",15
"Дзвінки на гарячу лінію без відповіді.",16
"Сміття залишилося на майданчику.",17
"У дворі накопичилося сміття, потрібно прибрати.",0
"Ліфт не працює, застряг на поверсі.",8
"Холодна вода не надходить у квартиру.",3
"Опалення у квартирі відсутнє.",5
"В квартирі відчувається запах газу.",6
"Світло у квартирі вимкнено.",7
"Під'їзд потребує прибирання.",0
"Забито каналізацію, вода не йде.",4
"Вуличне освітлення не працює.",2
"Сквер не прибрано.",11
"Пожежна сигналізація неактивна.",12
"Гучні сусіди порушують спокій.",13
"Опалення у школі не працює.",15
"Контакт-центр не відповідає.",16
"Сміття у дворі залишилося.",17
"Світло у під'їзді не горить.",2
"Протікає труба у підвалі.",4
"Газова плита несправна.",6
"Відсутнє електропостачання.",7
"Дах будинку протікає.",0
"Відсутнє водопостачання.",3
"Ліфт зупиняється між поверхами.",8
"Гаряча вода не надходить.",5
"Темна вулиця, немає освітлення.",2
"Дерева не доглянуті.",11
"Вогнегасники не перевірені.",12
"Потрібна поліція для реагування.",13
"Опалення у лікарні не працює.",15
"Сайт міської ради не доступний.",16
"Сміття не вивезено.",17
"Пошкоджені вікна у під'їзді.",0
"Тиск води низький.",3
"Газони не доглянуті.",11
"Пожежні щити відсутні.",12
"Крадіжка у дворі будинку.",13
"Опалення у школі не працює.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено вчасно.",17
"Ліфт застряг.",8
"Протікає труба у підвалі.",3
"Газова труба пошкоджена.",6
"Відсутнє електропостачання у квартирі.",7
"Дах потребує ремонту.",0
"Холодна вода не йде.",3
"На вулиці темно.",2
"Сквер не прибрано.",11
"Вогнегасники відсутні.",12
"Шумні сусіди порушують спокій.",13
"Опалення у школі не працює.",15
"Контакт-центр не відповідає на дзвінки.",16
"Сміття не вивезено.",17
"Сходи слизькі, небезпечно.",0
"Тиск води низький у крані.",3
"Вулиці не освітлені.",2
"Газони не прибрані.",11
"Не працює пожежна сигналізація.",12
"Крадіжка на території будинку.",13
"Опалення у класах не працює.",15
"Дзвінки на гарячу лінію без відповіді.",16
"Сміття залишилося на майданчику.",17
"Відсутнє освітлення у під’їзді.",2
"Сквер не доглянутий.",11
"Труби протікають у підвалі.",4
"Ліфт зупинився на поверсі.",8
"Газова плита не працює.",6
"Відсутнє електропостачання.",7
"Дах потребує термінового ремонту.",0
"Вода не надходить у квартиру.",3
"На вулиці темно, світло не працює.",2
"У під'їзді сміття, потрібно прибирання.",0
"Ліфт зупинився між поверхами.",8
"Відсутня холодна вода в квартирі.",3
"Опалення не працює в будинку.",5
"В квартирі запах газу.",6
"Електрика вимкнена у під’їзді.",7
"Двір забруднений, потрібно прибрати.",0
"Каналізація забита, вода не йде.",4
"Вуличне освітлення не працює.",2
"Сквер не доглянутий.",11
"Пожежне обладнання не працює.",12
"Порушення громадського порядку.",13
"Опалення у школі відсутнє.",15
"Телефон контакт-центру не відповідає.",16
"Сміття не вивезено.",17
"Світло у під’їзді не горить.",2
"Протікає труба у підвалі.",4
"Газова плита несправна.",6
"Відсутнє електропостачання.",7
"Дах протікає.",0
"Вода не надходить до кранів.",3
"Ліфт зупиняється між поверхами.",8
"Гаряча вода не йде.",5
"На вулиці темно.",2
"Дерева не доглянуті.",11
"Вогнегасники не перевірені.",12
"Потрібна поліція для реагування.",13
"Опалення у лікарні не працює.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено.",17
"Пошкоджені вікна у під’їзді.",0
"Тиск води низький.",3
"Газони не доглянуті.",11
"Пожежна сигналізація не працює.",12
"Крадіжка у дворі будинку.",13
"Опалення у школі не працює.",15
"Телефон міської ради не відповідає.",16
"Сміття не вивезено вчасно.",17
